id,comment,label
27,whatever issues customer raise they should resolved it according to them . cleanliness is there . after completing 1 year of the car then they should clean the fiber from their end should not charge for it . for servicing we come to you then if we are facing any issues then also will come to you only . at least for 2 years you should give proper servicing . if we give vehicle for cleaning in other service center then it could be fiber damage due to use of different chemical . if you will do the service it would be better because you know very well which chemical should be used to clean the vehicle . after the servicing you should remove dust which remains on vehicle .,['others']
28,executive should be present when they return customer 's vehicle . after servicing executive should check car both inside and out side . he can check what are the issues and what should they do . executive should not be available inside center he should available in open area where cars pass .,"['interior', 'check']"
29,they should focus on cleanliness . car should be cleaned properly . sometimes they forget to clean soil .,[u'clean']
30,while answering the cleanliness question i rated as 4 as i already mentioned they do not clean the vehicle properly . they clean only when we ask them or show it instead they should do it before we tell them i always give them complaint about cleanliness they always do it only after complaint . i have to tell them that the vehicle is not cleaned from here not cleared from there so then after telling them it is cleaned . so there is still complaint about the same if this part of their work is clean than there is no issue in any other thing . there is no other thing except they should wash or clean properly without any complaint .,"['work', u'clean']"
31,they should clean the vehicle properly as we need to instruct them on cleaning,[u'clean']
32,inside of glass are not cleaned after servicing the car . there was spot of oil on glass .,['interior']
33,car washing service is not good . they did not washed my car properly .,[u'clean']
34,they should clean car properly . in door area dust remains after was so they should clean it properly . ac in front of dash board and inside door place should clean neatly .,"['interior', u'clean']"
35,they should be improve the quality of work charges should be reduce . the servicing is not satisfactory . the dirt was still there inside the car when i was went there to pick up the car there is dirt found in the car then they take the car inside clean it again . the servicing are not good . there was no major work and i gave car only for servicing .,"['interior', 'work', u'charg']"
36,"speak respectfully with the customers and whatever , we tell they must clean and do not ask to leave us . they must say , sir you wait we would get it done . they do not have time .",['others']
37,"cleaning of vehicle should be proper . hey charge 1500 rupees for washing but still washing is not proper . they don \? t clean small parts of car like rubbers of door , gaps between door windows . chemical , shampoo liquid which they use for washing that is easily available in market . if we give vehicle for cleaning to any local service station in village they clean vehicle in just 300 rupees and if we clean internal parts they clean in 600 rupees only . we pay 1500 rupees still they did not clean my car properly . i am not happy with cleaning of vehicle .","['interior', 'part', u'charg', u'clean']"
38,they should do washing in interior part also like boot space or window mirrors .,['interior']
39,in my last service my experience of washing was little bad so supervisor should be focused on cleaning of vehicles . technique with they use for cleaning is proper but windows glasses rubbers strip of doors corners are not cleaning properly .,[u'clean']
40,the supervisor should take care about each and every single problem because last time they had not properly cleaned my vehicles . wheel was not properly cleaned . and the while entering the mat they didn \? t clean that . so i claimed same by the executive . so this thing should not be occurred again,"[u'thing', u'clean', 'staff']"
41,"they should be more careful concerned about our job . they change any of the spare parts , before it gets damaged . this thing i came to know when i showed this spare parts to other mechanics . they don \? t give proper washing to our cars . they just wash it for once or twice but by rule they should wash it until it is not clean but they charge for extra washing , which is a problem for every owner . when we \? re paying so much , then why we should pay extra for washing . i have to buy my satisfaction . some charges are comparatively much higher . they should not change the spare parts before 1k km for which the car is not even running for 1 month .","['part', u'charg', u'clean']"
42,no improvement require,['no improve']
43,last time when i went there for servicing they said that they would wash my car but the car was not washed properly .,[u'clean']
44,sometimes car is not clean properly . they should check first before handover the car to customer .,"['check', u'clean']"
45,"they should clean the interior portion of the car . they should clean the downside of the seats , gates ceilings properly . after cleaning the car properly , they should use chemicals or polishing , or else the dirty areas would remain dirty forever .","['interior', u'polish']"
46,proper responsible staff should be available in this dealership and they should properly cleaning the car and condition service should be improved .,['staff']
47,normally what ever work we have they must do it immediately . they must do the cleaning properly . car must be cleaned from inside also,"['interior', u'clean']"
48,the water washing of the vehicle is not good .,[u'clean']
49,they must clean the car properly . when they are in hurry they do not clean the car properly,[u'clean']
50,they clean car from outside but from inside car was not cleaned . so advisor should check these things before giving it the customer .,"['interior', 'check']"
51,"they should clean the vehicle properly and should check the vehicle properly , they should put the papers on all 4 seats without reminding them .",['check']
52,respondent was not able to suggest how to improve it .,['others']
53,they should check the vehicle before give it to the customer that the vehicle is properly cleaned or not .,['check']
54,alignment done during the servicing is not proper . outside steering must be kept correctly . alignment should be done properly .,['others']
55,they should concentrate on small parts also when they clean the car .,['part']
56,boys working in service center need to do cleaning well . we have to tell service advisor that do cleaning here and there and after that they do cleaning well .,['staff']
57,they do not clean the vehicle properly when given for cleaning . as my vehicle is parked on the road beside my house so they use vetam for doing servicing . but the cleaning part should be done properly .,"['part', u'clean']"
58,after washing the car staff should be proper checking the cleanliness of vehicle because sometimes car mad is not clean .,[u'clean']
59,everyone should do their work properly so cleanliness will automatically happen,['work']
60,"whenever , we gave the vehicle to the service , they have to do the work properly especially cleanliness of the vehicle . i had waited there for 4 hour 's when i visited for servicing . when i had given my vehicle for servicing i had observed the same as previous after delivering the vehicle .",['work']
61,they never clean the car . cleaning is not done properly . cleaning should be done properly . this can be done even better . we should not tell you about this .,[u'clean']
62,"car should be completely clean when we get the car outside after servicing . like there are stains on glass , hands print are left or once when i opened the bonnet it was very dirty . for this i also complained to them and had also shared the photos . because after servicing we never open and check the bonnet there but when we reach home and check the bonnet it is completely dirty , but now there is little improvement .","['check', u'clean']"
63,service should be improved . they need to clean the car completely and properly .,[u'clean']
64,respondent don \? t known how improve the services .,['others']
65,the vehicle should be cleaned properly from inside . they do not clean tires mudguard properly as they only pour water on it so they should clean it by using brush .,"['interior', u'clean']"
66,they did not do proper cleaning inside the car . if cleaning would be done good then we also be happy,"['interior', u'clean']"
67,"cleaning must be done . polishing must be done properly . stains appear on the car , it must be cleaned properly after sprinkling water .","[u'polish', u'clean']"
68,they should work as team and persons who are working there should do work properly . after car wash they do polishing due to which car did not clean and it made it unclean .,[u'clean']
69,"while returning the car after washing it should be good in terms of cleanliness . inside the car there i found some muds which was not cleaned properly , these things need to be implemented .",['interior']
70,they are not cleaning properly both from inside and outside . polishing is a part of cleaning that also they do not do it . they must take care on all these things .,"['interior', u'thing', 'part']"
71,i had pay 1250 rupees for the dry cleaning but they had clean vehicle such way we clean it our house . when clean vehicle from other place they clean properly and they charged 700 800 rupees after dry cleaning they called me and ask \? if you have any problem then you can tell us \? . in aravalli dealership they don \? t have vacuum cleaner . they didn \? t clean vehicle deeply if i ask them about this then they said that we will clear later .,[u'charg']
72,they not clean properly dashboard . they should clean stains which are on the mats and seat . toyota is big brand so they should improve all things . we face many problems because of this cleaning .,"[u'thing', u'clean']"
73,they return our vehicle with wet from inside and out side water is dripping . they should wipe the vehicle with dry cloth before giving .,['interior']
74,they have to clean the vehicle properly,[u'clean']
75,cleaning service should be improved . sometimes they are not clean the car .,[u'clean']
76,interior cleaning washing should be done properly . the interior gas was not given .,['interior']
77,"adviser should be look those staff who is cleaning vehicle because of they not clean properly . if they clean 4 vehicles , he looks 4 vehicles and if they take 1 vehicle he looks 1 vehicle . adviser must clean vehicle under his observation so customer should not say after the servicing .","[u'clean', 'staff']"
78,car must be completely be cleaned from inside . must have cleaner like door also needs to be cleaned . they must clean dash board . dash board gate must be polished . 1 more improvement needed is mirror must open automatically .,"['interior', u'polish']"
79,"there is no supervisor who can see properly even the manager is als not good . manager of tata is nice he manage good . after servicing car do not clean properly . service of tata is good . when work gets over of car should clean , wash properly , polilsh properly but they are making quality bad .","[u'clean', 'staff']"
80,the worker for washing car should be increase . more we cannot say because we keep waiting in the waiting room though we do not know that much .,['staff']
81,work quality should be improved also they should improve on car cleaning part .,['work']
82,"services are ok , there is no issues as such . they should improve on cleaning part of the car .",['part']
83,they should be provide vehicle after proper clean . sometimes mate was not clean properly also not drying so it should be done properly .,[u'clean']
84,car washing services should be improved,[u'clean']
85,they should clean and check the vehicle properly before hand over to customer,['check']
86,"4 4 times you have to tell them what is wrong , inside there was all dirty . they said wait as we do not have time . they call and tell us car is ready but when you go there to pick up the car they ask us to wait for 5 more minutes . they call us to tell car is ready come and pick then why they make us wait for another half an hour . we have to be behind the staff and tell them there is all dirt in my car . then you should call us only after car is completely ready .","['interior', 'staff']"
87,they said that car been washed out properly . their was end number of dust in my car . the area manager was telling its happen we are staying in india we are not in foreign the word which they told should not suppose to say . if there is a guy who is looking for a car . their should be an random check . you can pick any single lot out of 100 10 in a day you can find 2 things,"[u'thing', 'staff', 'check', u'clean']"
88,when customer given to servicing for car that time staff should be proper cleaning the car and if some scratches are there that should be removed .,['staff']
89,the cleaning of the car should be more after servicing . they should wash the car more cleanly .,[u'clean']
90,vehicle should be clean neat and proper .,['others']
91,more staff should be available . adviser should be deal personally and he should attend personally who is having complaints .,['staff']
92,they should do proper cleaning of the vehicle .,[u'clean']
93,sometimes they are not washing the car so staff should proper concentration to washing the car .,['staff']
94,if they are clean the quarter that quality was good and they are clean in water spray but water spray is not cleaning the car properly so if they are cleaning the car properly cars looking was good .,[u'clean']
95,they give good service when we bring our car for servicing . but while taking the car back we should feel happy by the services received because they will not leave the car without taking money for the service provided so we should be 100 happy with the services . like for example if we go to the doctor tell that my chest is paining then the doctor will tell you what is to be done for that so like that only the staff should tell us that what type if servicing is to be done by looking at the car . as i am not much aware of the car i don \? t know that what is to be done if there is break issue or tire is punctured . instead this should be mentioned by the dealership staff . once i had told them to change the clutch plate but before that i told them to do the servicing of the car . but i had to send the car again after 2 days of servicing for changing the clutch plate .,"[u'charg', 'staff']"
96,supervisor should be check the vehicle it was proper washing cleaning or not then they should give car to customer staff should be more cooperative with customer,[u'clean']
97,staff should be in control . the staff who control guide them they itself don \? t have proper controlling power .,['staff']
98,"should wash car properly , dust should not remain inside .",['interior']
99,the expectation i had towards the cleanliness that i didn \? t get . they should improve the quality of works towards cleanliness .,['work']
100,they should focus on washing of vehicle .,[u'clean']
101,they should do proper cleaning of the vehicle .,[u'clean']
102,"washing service should be improve . it should be done from up side , under the car and inside the car as well . they done washing servicing half only .","['interior', u'clean']"
103,car body wash should be clean properly and expert staff should be washing the car .,[u'clean']
104,no improvement require,['no improve']
105,they should active towards the cleanliness . they should clean the spots etc . and clean the car properly .,[u'clean']
106,"towards condition and cleanliness in the last servicing , i gave my car it was the first servicing of my car . the washing and all inside and outside basically it was not clean . inside also i could find the dust also . they should work properly .",['interior']
107,in the cleaning process they clean the engine keep the engine for drying in the open space so due to this dust mud is collected in the engine . so even after cleaning the engine dust is collected . instead they should keep the engine for drying in the closed room .,['others']
108,service staff are not clean the vehicle properly . sometimes dust is there in car inside they not clean the dust . when customer give the servicing for car that time staff should properly clean the vehicle . washing service should be improved .,"['interior', u'clean', 'staff']"
109,glass did not clean after wash the car . they done other parts clean properly but glass not . other all is ok .,"['part', u'clean']"
110,water servicing should be improved .,[u'clean']
111,car washing services should be improved .,[u'clean']
112,after serving should clean the dust and soil from the car .,['others']
113,they wash the car even then dust is available on the car as we are also into business we also have experienced so it does not look good if we ask them to clean again . we are noticing it but in washing area they should improve in the same .,[u'clean']
114,"they do not do the servicing properly even if we have already told them once , it is done only after telling the same thing twice . this problem is done in 1st service or 2nd service i am not aware about this but after telling them they solved the problem .",[u'thing']
115,in car washing they should use shampoo and properly clean the car .,[u'clean']
116,"they should improve more on the services when the clean the vehicle , they should clean it completely .",[u'clean']
117,they should ask the customer first about the work needed to done on the vehicle and they should do a proper cleaning of the vehicle .,['work']
118,car should be clean properly . should check once again after completion on the car work . so it will ensure that the work has been done completely or not and if we drive the car any where is should be in proper condition but they did not done their work .,"['work', 'check', u'clean']"
119,"after washing the car , they are park in outside so they should park to car in side delivery time staff should clean the car then give to customer .",[u'clean']
120,little little water drops get remain on the vehicle should clean properly . most of the time they leaves most of the things . after cleaning they should take care of it .,"[u'thing', u'clean']"
121,not cleaning they do not was properly . they washed just few area that also they not washed properly . the washing which they do with shampoo should they do the stain should not remain . last time also we said them and then they washed it . we brought our car over their then also we get any satisfaction .,[u'clean']
122,"the cleanliness of the vehicle is not good , and they are not clean types properly .",['others']
123,the cleanliness department donot clean vehicle properly . i was having innova that time they use to give proper service . nowadays dust stays intact even after servicing . it does n't feel that car is serviced . customer goes to service center in a motive of proper cleaned vehicle . i already said that my vehicle has gone thru village roads so clean properly . they replied positively but did not worked as per my satisfaction . supervisors should check the same .,['staff']
124,they should be clean interior during washing .,['interior']
125,vehicle is full of dust after wash . it should be kept in packed area .,[u'clean']
126,"they should clean the car as they are taking money , they should clean the properly and clean the mats also .",[u'charg']
127,"if the cloth of door comes out then its make noise . if we stand near door the door get press . cloth of bumper , mungat and bonnet 's is very light . upper side tire is all good .",['others']
128,sometimes they are not clean the car bottom side and wheel alignment is not properly done so that should be improved .,['others']
129,there should be improvement in cleanliness also they must look into this section . after washing their should be and improvement in pricing .,['others']
130,the dealer point has to improve their servicing . when i enter the service center within 15 minutes a staff should attend the car . the problems of my car should be dealt with a proper technician and it should be handed over to him soon . as soon as possible the car should be delivered with all the details of servicing .,['staff']
131,they do not clean properly even they do not do anything in bonnet . the people who does the work of checking and cleaning should do their work properly .,['check']
132,cleanliness should be properly done .,['others']
133,they do not clean the small parts when the car is given for cleaning . they clean after telling them about this . so instead of doing it after telling them it should be done by their own .,"['part', u'clean']"
134,after washing the car they use 2 labor for wiping the car so due to this the car is not cleaned properly . instead they should use more labor so that it is cleaned in less time also properly . we do not see more that how it is cleaned in side but if it is cleaned shined from outside then we feel very good . this needs improvement .,"[u'clean', 'staff']"
135,car should be washed if it enters service center . neither they apply polish nor shampoo and deliver as it is .,"[u'polish', u'clean']"
136,1 . they have to wash the vehicle properly before delivering it . 2 . when we are asked regarding the washing they are saying that we had received the same order from the higher authority .,[u'clean']
137,they should do improvement in cleanliness . what they says and what they explain us they do n't do that . they says that they are using of freeyum product but they do not use that . they are using local market product .,['others']
138,cleanliness service should be improved because they are washing the car but after they not clean the car . first they should check the vehicle it is clean or not then they should give car to customer .,"['check', u'clean']"
139,cleanliness service should be improved water washing service should be providing to customer,[u'clean']
140,when they keep car for sale so before they should do proper inspection,['others']
141,if we received the vehicle by the 7 00pm then we do not get proper clean vehicle . we pay 1500rs for cleaning but they do not clean it .,[u'clean']
142,before delivery supervisor should check the vehicle it is clean or not .,['staff']
143,they give contract to other persons for cleaning the car instead they should do it on their own . interior cleaning of the car is not done properly so this should be improved .,['interior']
144,they are washing the car but some of parts they are not clean so they should properly clean the car also clean the glasses .,[u'clean']
145,the staff of service center should performed the work properly and should clean the vehicle properly .,['staff']
146,oil servicing is not done properly as they do not clean properly . staff who are doing oil service should wear gloves so that it would be more clean .,['staff']
147,they should keep in mind corner glasses while cleaning . they should clean by removing seat and mateen and also should use vacuum cleaner,['others']
148,they should wash the body of the car more properly . this improvement is needed .,['others']
149,they do n't was vehicle properly . they should wash properly vehicle and give us .,[u'clean']
150,focus should be little on cleaning . the dust which remain from our side while cleaning same remain from your side also this is not expect from your side .,[u'clean']
151,they should clean the car 's mat properly as car 's mat always have sand after servicing,['others']
152,first they should clean the vehicle then give to customer,[u'clean']
153,they should more need to work on cleanliness of car,['others']
154,1 . they are not cleaning the vehicle interior,['interior']
155,i ca n't suggest how to improve it this is your look up you can think about it .,['others']
156,1 . after washing the vehicle they have to wipe the vehicle before delivering it .,[u'clean']
157,"after the servicing the car , they do n't do cleaning proper . they do washing but inside like blower of a c and upper side of mirror . they do n't clean which should happen .","['interior', u'clean']"
158,if they give more concentration like they wash glass of vehicle from outside should wash from inside also . should clean from inside also they should check that glass is properly cleaned or not .,['interior']
159,last time when i went there for servicing that time there were some stains on my needle and they charged me rs . 700 for its cleaning . first they must do the cleaning of the stains which occur duing servicing and later they must another cleaning and all,[u'clean']
160,"last time , i went to service center to stick the new mirror but they sticked the gum whole area of mirror . my car was standing over there for 3 days but their was no one to attend . we are business man we also do n't have time to stand over there . i cleaned up the mirror from the outsider local service center . we see lot of dust inside the car which should clean . so their should be an one person that who can look after cleanliness and washing of car then only they should deliver the car to customer .",['interior']
161,"while cleaning the car they should clean it completely like body wash , interior work act should be done properly .",['interior']
162,water service should be arranged in two different sections as one should be the opening part other should be closing part . when there are more cars they do not properly do the car washing as they do it in hurry .,"['part', u'clean']"
163,when i had give to the service center . they have to clean proper,['others']
164,they do n't clean car properly . we have to stand over their and ask them to clean . manager should after all this . they do n't do clean but they steal the new stuff of car .,"[u'clean', 'staff']"
165,they should clean the vehicle properly and should the cleaning of the vehicle properly before give it to customer .,[u'clean']
166,"when i did my servicing i didn \? t want my car to be washed on that particular day , because i was getting late . so i wanted it to be washed after 3 4 days when i \? ve time with me . they refused me to give a due wash slip , next time because they didn \? t have that facility with them . so they offered me a discount of rs 200 if they don \? t have to perform the wash . normally the charge of wash is rs 500 . they even told me that if i don \? t wash my car at that time then they would give me rs 200 immediately . i told them that i don \? t want the rs 200 rather i would come after 3 4 days or after a week with a due slip for the wash . so that i can be able to wash it some other day , because at that time my car didn \? t needed any washing . so i \? d to go with the rs 200 discount which i don \? t wanted .","[u'charg', u'clean']"
167,cleaning was not done from inside . they must take care and what else . their service advisor must go and check if complete cleaning is done or no,"['interior', 'staff']"
168,the parts which they see they clean that part but the small small parts like mirror they do not clean .,['part']
169,water wash service should be improved .,[u'clean']
170,"i have done 2 servicing at the shilfata which is located near my home . after servicing i found very bad inside the car also i have complaint 2 3 times to improve the service . then also servicing is bad instead of doing service from them it is good to do with local service center 100 is better . i gives the car to arpana which is in thane their service quality is so good that car looks like new . whenever i open the car over here i see that so many stain remain on desk board , on glass i deep on saying to clean up properly . they should improve the cleaning quality .","['interior', u'clean']"
171,washing of cars needs to improve more like it should be cleaner .,[u'clean']
172,cleanliness service should be improved because some times dust are there in car .,['others']
173,"they had clean the car properly from outside but inside under the desk little it was dusty so i tell them they cleaned up which i did n't like . there was some place not cleaned i told to dealer people they cleaned up . they should reduce the rate and should clean properly . internal cleaning should be proper , they takes charges of full cleaning . take service charge separately i think they it should be included .","['interior', u'charg']"
174,cleaning staff must have some facilities . 1 year back they were doing proper cleaning but now a days cleaning is not done properly,['staff']
175,service advisor should check the vehicle properly before give it to the customer .,['staff']
176,cleanliness service should be improved because they are not clean the car properly .,[u'clean']
177,they should clean the vehicle properly and should hand over the vehicle only when then vehicle get fully dry .,[u'clean']
178,car was not cleaned properly . they should implement on the same . need to clean the car completely .,[u'clean']
179,they should clean the vehicle properly .,[u'clean']
180,car was not cleaned properly . the time i got my car there stains on it . roadside cleaner do better cleaning them,[u'clean']
181,"did not get cleaned car in last servicing only . i had told them there also . make them notice that customers are giving them feedback that cleaning is not done properly then they must do it correct , then everything will be fine",[u'clean']
182,they should wash the vehicle properly and should work as per customer needs .,[u'clean']
183,"they should improve the cleaning process in the interior of the vehicle . they should use vacuum for cleaning . water wash is not done properly . for cleaning , they use some kind of oil spray for cleaning . so due to this oil in the dash board of mats is remained . after 2 days of cleaning dust appears on the interiors . so it should be done properly .","['interior', u'clean']"
184,cleaning service should be improved because sometimes they are clean only upper side inside of car they are not clean properly so they should be properly clean all side of car .,['interior']
185,cleanings service should be improved . sometimes they are washing but car was not properly clean .,[u'clean']
186,they should clean the vehicle properly .,[u'clean']
187,"they should be clean and wash vehicle properly . they should clean properly upside , downside and bonnet .",[u'clean']
188,when they clean the car at that time they must clean it from inside also . they must wipe with cloth inside also . boys who are kept there for cleaning should be of good quality and you must see if they are doing their work right,"['interior', 'work']"
189,they should do the proper cleaning of the interior parts also .,['interior']
190,they are not clean the car properly sometimes they are not clean the inside of car aim always say after washing properly clean the car they should be use to deiseal for car washing,['interior']
191,they should properly clean the vehicle .,[u'clean']
192,they should clean the vehicle properly .,[u'clean']
193,the car belongs to who ever their technician should do proper cleaning . we complete the cleaning in front of us . we have to tell them as here is the stain there is the stain clean it . being a customer we know how to clean it then they should know better than us it will clean through which material and how .,[u'clean']
194,they washing the car after servicing . my car has not cleaned from inside . earlier the advisor himself informed us about cleaning by handover the key . but this time they gave me key on counter and car was stand on gate hence i came to know while driving back to my way as there was dust in my car .,"['interior', u'clean', 'staff']"
195,they should clean wash the vehicle properly .,[u'clean']
196,sometimes staffs are not clean the outside of car so they should properly clean the vehicle .,['staff']
197,it is only they should done all work satisfied . and the welding work has not doing properly .,['work']
198,the cleaning of the vehicle should be done properly .,[u'clean']
199,they do not do cleaning of the vehicle properly . even if the servicing is done properly but the cleaning properly .,[u'clean']
200,should work as per customer 's expectations . they are very well aware with all this things but still they are doing temporally work . they are just washing with normal water as the car is new . so they should not do like this . should provide proper service .,"['work', u'clean']"
201,the cleaning is not good 2they have to do their work perfectly in cleaning the vehicle,['work']
202,the dealer ship is so late from the delivering the vehicle staying then in learn . they are not giving proper details of the vehicle . increasing the staff . the mechanical person was 2 members . they have to explain the customers vehicle the driving process,['staff']
203,the cleaning is not good . 2 . there should be one person at the time of cleaning of the vehicle .,[u'clean']
204,we have to paid extra money to them then only they done cleaning properly . sometimes we gave rs . 100 and sometimes rs . 200 . should not give this much charges . we have to tell them here is uncleaned or there is dust . they do not come early after informing them also . if we said will give extra money so they came immediately .,[u'charg']
205,when customer said my car is washing like bonnet and engine is there . when we asked them to put a water in bonnet then they do not put the water in that and there is garbage in tires also . so they are not putting water there also . we have to tell them . other wise all work is a1 .,"['work', u'clean']"
206,they have to educated the staff regarding the cleanliness .,['staff']
207,they should wash the car properly and should do proper work .,['work']
208,they should wash the vehicle properly .,[u'clean']
209,cleanliness service should be improved because they are not clean the car properly .,[u'clean']
210,employees are getting charges again and again so new staff don \? t take care of cleanliness of vehicle . washing staff should be well trained about cleanliness maintaining of car .,"[u'charg', 'staff']"
211,they should improve in the cleaning of the car as they should do it properly .,[u'clean']
212,washing of the car should be cleaner . the underbody and base part places should be covered and cleaned properly,"['part', u'clean']"
213,car washing services should be improved .,[u'clean']
214,we did not receive expected cleaning from center . after cleaning car does not shine . so they should improve in their cleaning products .,[u'clean']
215,they should clean vehicle properly .,[u'clean']
216,cleaning service should be improved because sometimes inside of car they are not clean properly so they should be properly clean all side of car .,['interior']
217,they should clean the vehicle properly .,[u'clean']
218,there labour who cleans the vehicle does not know how to return car to the customer .,['others']
219,they should improve the service in the internal cleaning done to the vehicle .,['interior']
220,they should clean the vichle properly its should also do the denting painting properly,['others']
221,seats all was not clean properly . if we see car from outside it looks clean but from inside they don \? t clean vehicle properly .,"['interior', u'clean']"
222,they should update the customer the exact time and they should accept their mistake if they have any .,['others']
223,washing department should do work properly .,[u'clean']
224,no improvement require,['no improve']
225,"their washing services are not good . after washing if we check , it has problems . dealership is 150km away . after cleaning they should check inside car as well .","['interior', 'check', u'clean']"
226,at night time they did not clean vehicle properly . after servicing nor a single pot should be there . nagpur service center do work good,['others']
227,they should improve on the water services done for cleaning the vehicles . the stains do not get completely clean .,[u'clean']
228,they should clean the vehicle properly .,[u'clean']
229,they are cleaning in upper side it is good but they are not clean in inside like seat cover other side so they should clean the vehicle in all side .,['interior']
230,they should improve the work quality in cleanliness of the car . they should blow the air after cleaning as we pay for that . they should clean the spots on near the tires .,['work']
231,everyone need to work by sense of responsibility without asking anything to the customer then only they will improve .,['others']
232,before 6 months back unfortunately on the road i had a puncture in my tyre i had to call up a mechanic i . e . roadside mechanic to change my tyre but unfortunately after changing my tyre he didn \? t fix the wheel properly and the result was after moving 5 6 km the tyre came out from my wheel gauge then i had to call up each and every service people who never provide any help to me for assisting me for helping out to coming out of the situation as i ad to do it myself as i had called the toyota dealer and near by all chennai on road service people and i called my service center trivandrum no body helped me out coming out of situation as that was the worst thing for me and my wife and my children has to stand on the road for around 5 6 hours as they know how to sale the vehicle properly and they know how to take the money while providing service . as last service i took to them they changed my break shoe engine oil every thing and they charged me 16000rupees for just a service and they never checked that my entire mat was entirely blackened by shoe greece when i drove the vehicle home and then i saw that the back seat was such a disgusting thing whom to complain and what shall i tell as i have taken the photo of that of door mat been spoiled by greece and shoe mall as i had recommended to my friend for the crista he has also experienced the same experience while having the tentatic work . the service which is provided should be more active and more cautious about when they deal with customers skills that too with high end vehicle whether it is crista or fortuner or whatever may be they should be little careful about it . in my case the rare wheel came out of the left side tire base and that time i pleaded them please and somebody to take my vehicle to nearer work shop or service center then they said that your service is out of warrantee so i said that i will pay for that no problem i will pay for it please help me out but no body helped me out they have not given me any excellent service i myself had to take my vehicle to 5000 to10000km to their service center then they made it ready then i took off . as they charge very huge amount while servicing as i have to pay for every servicing as they don \? t provide any free charges for any part of the time . my house is around 8 10kmfar from dealership location when i take my vehicle to the service center they tell me to arrange my own transport to go back to home or else they will take my vehicle and drop me and then they take it and god knows after leaving me this man takes the vehicle where i don \? t know which i cant access that so that system is very wrong as dropping the customer in his own vehicle and then the man takes the vehicle where all he will take we don \? t know they should arrange something for the customer as per the require as they should provide the vehicle or the umbrella for standing outside and waiting for the auto rickshaw or any other vehicle as i had to search the vehicle in the hot sun . after 6 . 30 they are closing the service center so they should extend till 9 . 30 pm since they are opening in the 9 . 30 am or 10 am in the morning so if after the office hours we have to take the vehicle means it is very inconvenient . as the parts are very costly follow up call as they call me but if my phone switched off or else i didn \? t receive they not call back .,"['part', 'work', u'charg']"
233,they should do cleaning properly so that customer will be happy .,[u'clean']
234,they not supposed to touch my system so they not should open my wiring of my vehicle . they not even clean my vehicle i told anything because i was in hurry . they said for cleaning you take car tomorrow so only for cleaning we can \? t wait till next day .,['others']
235,washing service should be improved because sometimes they are not clean in ground position of vehicle .,[u'clean']
236,they should clean the vehicle properly .,[u'clean']
